"","files","authors","commits","days","conflicts","complex","bic"
"10794",2619,12,478,245,387,"TRUE","FALSE"
"10796",81,2,9,1,2,"TRUE","FALSE"
"10800",61,4,24,13,4,"TRUE","FALSE"
"10809",42,3,27,6,1,"TRUE","FALSE"
"10813",198,12,77,8,1,"TRUE","FALSE"
"10814",221,8,83,1,1,"TRUE","FALSE"
"10815",219,5,108,2,1,"TRUE","FALSE"
"10818",213,5,58,37,1,"TRUE","FALSE"
"10833",1757,8,31,21,71,"TRUE","FALSE"
"10851",559,8,212,62,8,"TRUE","FALSE"
"10862",15,2,3,3,1,"FALSE","FALSE"
"10870",10,2,5,0,1,"FALSE","FALSE"
"10873",163,4,54,40,3,"TRUE","FALSE"
"10887",534,9,301,31,1,"TRUE","FALSE"
"10889",400,6,112,19,1,"TRUE","FALSE"
"10891",354,5,204,31,34,"TRUE","FALSE"
"10892",1150,17,778,123,34,"TRUE","FALSE"
"10903",60,5,41,4,1,"TRUE","FALSE"
"10907",62,2,13,3,1,"TRUE","FALSE"
"10917",262,5,142,9,2,"TRUE","FALSE"
"10920",20,2,8,2,1,"FALSE","FALSE"
"10921",99,3,32,16,2,"TRUE","FALSE"
"10932",166,8,71,15,1,"TRUE","FALSE"
"10934",164,3,28,6,1,"TRUE","FALSE"
"10935",632,13,474,36,26,"TRUE","FALSE"
"10936",459,13,52,46,26,"TRUE","FALSE"
"10942",332,6,119,43,2,"TRUE","TRUE"
"10943",409,7,245,46,2,"TRUE","TRUE"
"10948",656,16,404,76,2,"TRUE","FALSE"
"10949",529,16,390,70,2,"TRUE","FALSE"
"10951",80,6,30,7,1,"TRUE","FALSE"
"10954",1077,9,397,67,65,"TRUE","FALSE"
"10955",16,4,9,2,2,"FALSE","FALSE"
"10964",6,2,6,0,1,"FALSE","FALSE"
"10966",74,3,29,5,3,"TRUE","FALSE"
"10967",45,3,30,3,2,"TRUE","FALSE"
"10972",18,2,9,24,1,"FALSE","FALSE"
"10973",128,4,42,29,6,"TRUE","TRUE"
"10975",105,3,29,21,1,"TRUE","FALSE"
"10995",738,11,683,34,1,"TRUE","FALSE"
"10997",122,3,14,19,1,"TRUE","FALSE"
"11007",328,4,94,43,1,"TRUE","FALSE"
"11008",99,4,32,9,1,"TRUE","FALSE"
"11009",843,8,222,21,29,"TRUE","FALSE"
"11014",876,9,243,27,29,"TRUE","FALSE"
"11019",52,5,28,7,1,"TRUE","FALSE"
"11021",1933,18,605,35,20,"TRUE","FALSE"
"11022",688,12,235,17,20,"TRUE","FALSE"
"11025",109,3,75,26,1,"TRUE","FALSE"
"11034",73,5,31,7,1,"TRUE","FALSE"
"11036",311,5,80,32,1,"TRUE","FALSE"
"11047",268,10,215,30,1,"TRUE","FALSE"
"11048",938,15,509,21,1,"TRUE","FALSE"
"11053",139,9,22,13,1,"TRUE","FALSE"
"11063",325,6,102,75,3,"TRUE","FALSE"
"11072",699,11,279,29,4,"TRUE","FALSE"
"11073",146,2,19,2,1,"TRUE","FALSE"
"11074",1425,3,185,50,1,"TRUE","FALSE"
"11075",795,17,744,89,1,"TRUE","FALSE"
"11079",336,6,276,20,3,"TRUE","FALSE"
"11085",112,5,34,5,1,"TRUE","FALSE"
"11093",366,10,196,5,1,"TRUE","FALSE"
"11095",503,9,322,40,3,"TRUE","TRUE"
"11099",27,3,15,0,1,"FALSE","FALSE"
"11101",117,2,30,29,4,"TRUE","FALSE"
"11102",53,4,54,2,3,"TRUE","FALSE"
"11105",213,7,91,2,1,"TRUE","FALSE"
"11111",191,7,54,25,4,"TRUE","TRUE"
"11120",6,2,4,0,1,"FALSE","FALSE"
"11127",317,19,64,18,1,"TRUE","FALSE"
"11139",22,3,27,6,1,"FALSE","FALSE"
"11146",2224,54,503,103,33,"TRUE","FALSE"
"11150",123,3,36,6,4,"TRUE","FALSE"
"11151",383,14,56,14,1,"TRUE","FALSE"
"11152",287,8,101,2,3,"TRUE","FALSE"
"11155",7,3,5,7,1,"FALSE","FALSE"
"11157",190,10,67,4,1,"TRUE","FALSE"
"11161",2697,10,27,64,7,"TRUE","FALSE"
"11164",1460,13,43,16,1,"TRUE","FALSE"
"11181",412,15,97,2,42,"TRUE","FALSE"
"11186",495,15,57,88,3,"TRUE","FALSE"
"11188",2745,53,206,20,6,"TRUE","FALSE"
"11201",1145,44,346,39,3,"TRUE","FALSE"
"11202",33,3,15,8,2,"TRUE","FALSE"
"11213",34,6,7,1,2,"TRUE","FALSE"
"11218",557,26,114,21,7,"TRUE","FALSE"
"11219",8,4,6,1,1,"FALSE","FALSE"
"11238",134,9,16,2,1,"TRUE","FALSE"
"11244",54,3,24,11,1,"TRUE","FALSE"
"11246",169,5,55,2,1,"TRUE","FALSE"
"11247",6882,15,44,3,29,"TRUE","TRUE"
"11254",11,8,17,0,1,"FALSE","FALSE"
"11267",2488,67,621,125,78,"TRUE","FALSE"
